"Company Name","Company Site","Company Industries","Report Link","Report Year","Mean Hourly Gap","Median Hourly Gap","Mean Bonus Gap","Median Bonus Gap","Mean Hourly Gap Part Time","Median Hourly Gap Part Time","Mean Hourly Gap Part Temp","Median Hourly Gap Part Temp","Percentage Bonus Paid Female","Percentage Bonus Paid Male","Percentage BIK Paid Female","Percentage BIK Paid Male","Q1 Female","Q1 Men","Q2 Female","Q2 Male","Q3 Female","Q3 Male","Q4 Female","Q4 Male","Percentage Employees Female","Percentage Employees Male"
"H&M Hennes & Mauritz (Ireland) Limited",https://www2.hm.com/en_ie/index.html,Retail,https://www2.hm.com/content/dam/Customer-Service/Legal/Gender%20Pay%20Gap%20Results%20IE%202023%20Final.pdf,2023,0.1,-0.7,21.8,53.4,-0.7,-0.7,,,5.2,2.6,,,87,13,80,20,86,14,83,17,,
"Haleon (all legal entities)",https://www.haleon.com/,Healthcare,https://www.haleon.com/content/dam/haleon/corporate/documents/gender-pay-gap/2023-ireland-gender-pay-gap-report-final.pdf.downloadasset.pdf,2023,11.1,6.9,11.7,5.4,,,-0.1,1.4,94,94.6,88.6,87.3,47,53,33,67,32,68,22,78,,
"Harry Corry Interiors",https://www.harrycorry.com/,Retail,https://careers.harrycorry.com/GenderPayGapReport_2023-12-19.pdf,2023,-1.6,-0.3,-17,-54,0,0,0.6,0.2,100,100,,,91.2,8.8,91.2,8.8,92.65,7.35,92.5,7.5,,
"Hays Specialist Recruitment Ireland Limited",https://www.hays.ie/,"Human Resources",https://www.hays.ie/documents/d/global/hays-ireland-gender-pay-gap-report,2023,22.8,9.5,35.9,18.4,,,,,81,85.5,21,24.2,66.7,33.3,66.7,33.3,69,31,48.8,51.2,,
"Health and Safety Authority (HSA)",https://www.hsa.ie/eng/,"Public Service,Government",https://www.hsa.ie/eng/publications_and_forms/publications/corporate/hsa_gender_pay_gap_report_2023.pdf,2023,-1.54,1.52,,,-1.16,4.84,,,,,,,48,52,61,39,52,48,54,46,54,46
"Health Information and Quality Authority (HIQA)",https://www.hiqa.ie/,Government,https://www.hiqa.ie/sites/default/files/2023-12/HIQA-Gender-Pay-Gap-Report-2023.pdf,2023,4.34,3.92,,,38.72,37.57,14.03,38.08,,,,,66,34,68,32,79,21,75,25,72,28
"Health Products Regulatory Authority (HPRA)",https://www.hpra.ie/,"Government,Regulatory",https://www.hpra.ie/docs/default-source/publications-forms/corporate-policy-documents/gender-pay-gap-report-2023.pdf?sfvrsn=4,2023,1.22,2.12,,,-90.56,-80.88,6.84,3.68,,,,,72,28,73,27,68,32,70,30,71,29
"Health Service Executive (HSE)",https://www.hse.ie/,"Public Service,Government",https://www.hse.ie/eng/services/publications/human-resources/hse-gpg-report-2023.pdf,2023,12,0,,,9,-13,20,24,,,,,76,24,79,21,82,18,73,27,78,22
"HedgeServ Ireland",https://www.hedgeserv.com/,Financial,https://www.hedgeserv.com/wp-content/uploads/2024/01/File_GPG-Ireland-Report-2023.pdf,2023,9.6,4.4,5.92,5.83,31.2,31.8,1.76,2.5,93,91,91,92,39,61,41,59,41,59,31,69,,
"Heineken Ireland",https://www.heinekenireland.ie/,"Food & Drink",https://www.heinekenireland.ie/sustainability/reporting/for-publishing_gender-pay-gap-report_heineken-ireland_2023.pdf,2023,-0.28,6.98,5.6,4.1,,,11.95,21.5,89,95,53,57,37,63,37,63,30,70,38,62,36,64
Henkel,https://www.henkel.com/,Manufacturing,https://www.henkel.com/resource/blob/1915014/e62be9d87f560be731e76aafd1eb1a27/data/henkel-gender-pay-gap-report-dec-2023-v7.pdf,2023,24.82,28.18,41.18,28.54,55.08,58.28,31.71,40.98,92.97,97.35,93.75,91.53,67.5,32.5,46.84,53.16,25.32,74.68,21.52,78.48,,
"Henry J Lyons",https://henryjlyons.com/,Architecture,https://henryjlyons.com/uploads/images/Gender-Pay-Gap-Report-2023.pdf,2023,21,17,23,17,,,,,91,96,,,70,30,54,46,35,65,32,68,48,52
"Hermitage Clinic",https://www.blackrockhealth.com/,Healthcare,https://www.blackrockhealth.com/sites/default/files/2023-12/cBC95_blackrock_health_gender_pay_gap_report_2023_v7.pdf,2023,8.4,-3.33,15.9,0,12.05,-4.39,-86.95,-70.78,3.19,7.14,0.16,7.14,71.88,28.13,77.38,22.62,83.21,16.79,70.41,29.59,75.55,24.45
Hertz,https://www.hertz.ie/rentacar/reservation/,"Automotive,Technology,Software",https://images.hertz.com/pdfs/Gender_Pay_Gap_Report_IE_2023.pdf,2023,20.5,21,17,20,-11,-11,38,28,93,85,41,39,62,38,60,40,50,50,36,64,52,48
"Hewlett Packard - HP Galway",https://www.hp.com/ie-en/home.html,"Technology,Software,Hardware",https://www.hpe.com/psnow/downloadDoc/Gender%20pay%20gap%20%E2%80%93%20HPE%20Ireland%202023-a00134907eew.pdf?id=a00134907eew&isFutureVersion=true&ver=&form=false&preview=false&print=&hf=regular&r=&section=&prelaunchSection=&softrollSection=&deepLink=&utm_source=&utm_medium=&utm_campaign=&utm_content=&utm_term=,2023,10.9,1.7,36.4,17.3,0,0,14.4,3.6,,,100,100,19.7,80.3,24.7,75.3,26,74,16.9,83.1,32.2,67.8
"Hewlett Packard - HPE",https://www.hp.com/ie-en/home.html,"Technology,Software,Hardware",https://www.hpe.com/psnow/downloadDoc/Gender%20pay%20gap%20%E2%80%93%20HPE%20Ireland%202023-a00134907eew.pdf?id=a00134907eew&isFutureVersion=true&ver=&form=false&preview=false&print=&hf=regular&r=&section=&prelaunchSection=&softrollSection=&deepLink=&utm_source=&utm_medium=&utm_campaign=&utm_content=&utm_term=,2023,13.1,13.5,25,20,-15.6,-19.5,-25,1,91.5,87.5,100,100,35.3,64.7,38.5,61.5,32.7,67.3,22.4,77.6,32.2,67.8
Hollister,https://www.hollister.ie/en-ie,Retail,https://www.hollister.ie/-/media/files/pdfs-for-download/ie/hollister-ulc-gender-pay-gap-report-2023.ashx,2023,19.9,13.9,34.6,5.6,18,24,20,20,86,86,86,86,57,43,51,49,32,68,21,79,40,60
"Horse Racing Ireland",https://www.hri.ie/,Government,https://www.hri.ie/corporate/about-us/our-responsibilities/gender-pay-gap,2023,3.62,1.47,,,-64.3,-58.9,-1.3,1.27,,,,,,,,,,,,,46,54
"Houses of the Oireachtas Service",https://www.oireachtas.ie/,"Public Service,Government",https://data.oireachtas.ie/ie/oireachtas/corporate/reports/2023/2023-12-20_gender-pay-gap-report-2023_en.pdf,2023,-4.09,-7.95,,,-18.41,-29.7,,,,,,,47.1,52.9,31.25,68.75,48.06,51.94,46.62,53.38,,
"HSBC Ireland (both legal entities)",https://www.hsbc.ie/,"Banking,Financial",https://www.about.hsbc.ie/-/media/ireland/en/231220-gender-pay-gap-report-2023.pdf,2023,19,17,40,29,,,,,94,94,92,92,49,51,57,43,46,54,37,63,,
HubSpot,https://www.hubspot.com/,"Technology,Software",https://drive.google.com/file/d/1DUrw5wm6bAfxV_Z8nKw8x5FD7Q5bdGkP/view,2023,20.4,25.3,37.6,48.6,,,,,97.9,97.4,100,100,52.5,47.5,53,47,39.1,60.9,28.7,71.3,,
IADT,https://iadt.ie/,Education,https://iadt.ie/wp-content/uploads/2023/12/IADT-Gender-Pay-Gap-Report-2023.pdf,2023,9.7,15.5,,,37,50.9,0.4,0,,,,,54,46,65,35,50,50,48,52,,
"Iarnród Éireann (Irish Rail)",https://www.irishrail.ie/,"Public Service,Transport,Transport",https://www.irishrail.ie/Admin/IrishRail/media/Content/About%20Us/Sustainability/2023-Iarnrod-Eireann-Gender-Pay-Gap.pdf,2023,-7.72,-12.9,,,,,,,,,,,9.9,90.1,5.5,94.5,14.5,85.5,16.5,83.5,11.6,88.4
Ibec,https://www.ibec.ie/,Lobbying,https://web.archive.org/web/20240121195657/https://www.ibec.ie/-/media/documents/about-us/gender-pay-gap-report-2023.pdf,2023,25.1,26.7,37.7,24.6,,,-39.5,-13.6,93.7,85.5,28.6,27.7,79.4,20.6,80.9,19.1,63.2,36.8,54.4,45.6,69.5,30.5
IBM,https://www.ibm.com/uk-en,"Technology,Software,Hardware",https://www.ibm.com/downloads/cas/GJXYBRX4,2023,6.4,11.5,-4.9,11.3,9.1,2.6,1,10.3,94.8,96.4,100,100,36.7,63.3,30.8,69.2,23.6,76.4,23.9,76.1,,
"ICON Clinical Research Limited (Ireland)",https://www.iconplc.com/,"Pharmaceutical,Professional Services",https://icon.widen.net/content/t0ffc9sjw4/original/ICR_Ireland_2023_Gender_Pay_Gap_Report.pdf?u=mnr6mn&download=false,2023,16,13.2,48,22.8,-65.4,-48.8,-33.8,-29,80.8,81.8,75.3,80.3,68,32,66,34,67,33,52,48,63,37
"IDA Ireland",https://www.idaireland.com/,Government,https://www.idaireland.com/getmedia/312fb46c-111e-40f2-819e-7cc06e4aeb65/IDA-Gender-Pay-Gap-Report-2023.pdf?ext=.pdf,2023,9,4,,,,,1.2,2.9,,,,,40.8,59.2,58.7,41.3,34.8,65.2,28.6,71.4,,
"IKEA Ireland",https://www.ikea.com/ie/en/,Retail,https://www.ikea.com/ie/en/files/pdf/dd/77/dd77cf17/ikea-ie-gender-report-2023-final.pdf,2023,4.8,1.1,22.5,8.2,-0.1,1.8,,,,,,,60.1,39.9,59,41,54.5,45.5,50,50,55.9,44.1
"Indeed Ireland Operations Ltd",https://ie.indeed.com/about,"Technology,Software",https://d341ezm4iqaae0.cloudfront.net/assets/2023/12/04181022/IE-Gender-Pay-Gap-Report-2023.pdf,2023,20.86,16.43,40.96,32.95,15.94,31.1,-9.58,0,99.51,99.69,98.21,97.34,60.1,39.9,51.4,48.6,44.1,55.9,40.3,59.7,49,51
"Infosys BPM",https://www.infosysbpm.com/,"Business Process Management",https://www.infosysbpm.com/ireland/documents/infosys-bpm-gender-pay-gap-report-2023.pdf,2023,3.4,0.1,5.8,1.4,1.1,4.6,1.7,0,79.8,82.2,4.5,5.8,46.2,53.8,38.1,61.9,42.7,57.3,40.7,59.3,,
Insomnia,https://www.insomnia.ie,"Hospitality,Restaurant",https://www.insomnia.ie/media/files/INSOMNIA_GENDER_PAY_GAP_2023.pdf,2023,13.9,1.16,41.5,14.1,1.11,0.59,,,,,,,32.5,67.5,23.8,76.2,18.1,81.9,27.3,72.7,66.52,43.48
"Integer Holdings",https://www.integer.net/home/default.aspx,Medical,https://s24.q4cdn.com/416143379/files/doc_downloads/2023/01/Ireland-Pay-Gap-12-30-22-V2.pdf,2023,9.7,8.4,,,-11.7,-12.8,,,87,86,53,53,53,47,47,53,40,60,33,67,43,57
"Intel Ireland (Overall)",https://www.intel.ie/content/www/ie/en/company-overview/intel-in-ireland.html,"Technology,Software,Hardware",https://www.intel.ie/content/dam/www/central-libraries/us/en/documents/2023-11/2023-ireland-gender-report-final-1.pdf,2023,6.5,8.3,8.2,0.2,42.8,41.1,-12.8,-53,98,98.5,97.1,96.5,24.3,75.7,13.9,86.1,12.5,87.5,16.9,83.1,,
"Intel Ireland Limited",https://www.intel.ie/content/www/ie/en/company-overview/intel-in-ireland.html,"Technology,Software,Hardware",https://www.intel.ie/content/dam/www/central-libraries/us/en/documents/2023-11/2023-ireland-gender-report-final-1.pdf,2023,2.7,9,-9.2,1.9,26.1,26.1,-4.8,-1.3,98.7,99.4,97.1,97.3,24.3,75.7,13.4,86.6,9.7,90.3,17.5,82.5,,
"Intel R&D Ireland Limited",https://www.intel.ie/content/www/ie/en/company-overview/intel-in-ireland.html,"Technology,Software,Hardware",https://www.intel.ie/content/dam/www/central-libraries/us/en/documents/2023-11/2023-ireland-gender-report-final-1.pdf,2023,23.7,30.2,49,45.1,,,-7.71,0.1,95.2,93.9,93.5,2.9,32.2,67.8,23.4,76.6,17.6,82.4,8.8,91.2,,
Intercom,https://www.intercom.com/,"Technology,Software",https://assets.ctfassets.net/xny2w179f4ki/4SEt5hEBF2L6FHapT312cM/3d2b5e8442e5fc24660ac428347d546f/Ireland_Gender_Pay_Gap_Report_2023.pdf,2023,20.5,21.9,6.7,33.3,,,,,89.9,92.9,91.1,95.4,54.5,45.5,44.9,55.1,39.4,60.6,18.4,81.6,,
"IQVIA RDS Ireland Limited",https://www.iqvia.com/,"Technology,Software",https://www.iqvia.com/-/media/iqvia/pdfs/about-us/2023-ireland-gpr.pdf,2023,9,8,11,15,54,53,-61,28,90.3,85.7,90.3,85.7,63,37,76,24,74,26,58,42,,
"Irish Cancer Society",https://www.cancer.ie/,Charity,https://www.cancer.ie/sites/default/files/2023-12/Gender%20pay%20gap%20report%202023_vF.pdf,2023,5,-3,,,9,3,3,2,,,,,95,5,88,12,94,6,92,8,93,7
"Irish Distillers ",https://www.irishdistillers.ie/,"Food & Drink",https://www.irishdistillers.ie/wp-content/uploads/2023/12/Irish-Distillers-Gender-Pay-Gap-Report_-December-2023.pdf,2023,9.6,8,9.9,0,-39.9,-31.6,5,5.9,73.2,75.9,95.2,95.9,40,60,36,64,37,63,32,68,36,64
"Irish Life Group (all legal entities)",https://www.irishlife.ie/,"Insurance,Financial",https://assets-eu-01.kc-usercontent.com/ffd8d21b-ebd4-0151-55d5-297335c8f50f/3b3c372e-ef47-4490-a4eb-dc9a051c24d8/Irish%20Life%20Group%20Companies%20Gender%20Pay%20Report%202023.pdf,2023,21.8,12.2,53.3,32.8,1.5,-3.3,-20.6,-54.4,93.8,90.9,27.8,33.2,57.41,42.59,59.18,40.82,52.25,47.75,39.44,60.56,52,48
"Irish Prison Service: Civilian Grades",https://www.irishprisons.ie/,"Public Service,Government",https://www.irishprisons.ie/wp-content/uploads/documents_pdf/IPS-Gender-Pay-Gap-Report-2023.pdf,2023,15.13,17.43,,,10.73,6.69,,,,,,,75,25,74,26,63,37,59,41,,
"Irish Prison Service: Prison Grades",https://www.irishprisons.ie/,"Public Service,Government",https://www.irishprisons.ie/wp-content/uploads/documents_pdf/IPS-Gender-Pay-Gap-Report-2023.pdf,2023,1.66,1.11,,,-6.03,-1.26,,,,,,,22,78,19,81,19,81,19,81,,
"Irish Rugby Football Union (IRFU)",https://www.irishrugby.ie/,Sport,https://d19fc3vd0ojo3m.cloudfront.net/irfu/wp-content/uploads/2023/12/14162818/IRFU-Gender-Pay-Gap-Report-2023.pdf,2023,29,12,38,35,,,,,89,85,64,90,56,44,20,80,41,59,20,80,34,66
"Irish Wheelchair Association",https://www.iwa.ie/,Charity,https://www.iwa.ie/app/uploads/2023/12/IWA-Gender-Pay-Gap-2023.pdf,2023,3.87,-0.67,,,-3.52,-1.08,-6.56,-14.69,,,0.27,3.06,74.46,25.54,80.5,19.5,83.21,16.79,73.88,26.12,78,22
"ISS Facility Services Ireland",https://www.issworld.com/en-ie,"Facilities Services",https://brand.issworld.com/m/30d9800541b04794/original/Ireland-Gender-Pay-Gap-Report-2023.pdf,2023,14,9.5,29.6,43.6,,,,,2.3,6.2,,,81,19,71,29,57,43,47,53,,
"Jabil Ireland",https://www.jabil.com/,"Technology,Hardware",https://www.jabil.mx/dam/jcr:50929ca0-7827-4c83-af80-6d4321087430/2023%20Ireland%20Gender%20Pay%20Gap%20Report.pdf,2023,17.7,8.5,39.7,19.2,38.5,24.6,5.8,7.4,77.5,79,20.1,20.5,33.7,66.3,37,63,30,70,20.2,79.8,,
Jacobs,https://www.jacobs.com/,"Professional Services",https://www.jacobs.com/sites/default/files/2023-12/Ireland_Gender_Pay_Gap_2023_FINAL.pdf,2023,27.2,27.3,42.5,33.9,-1.3,2,51.2,0,24.9,32.9,2.9,3.6,47.7,52.3,48,52,27,73,15.4,84.6,34.5,65.5
"Janssen Pharmaceutical Sciences",https://www.janssen.com/ireland/,Pharmaceutical,https://jnj.co.uk/ireland-gender-pay-gap-report-2023,2023,13.77,14.55,7.01,13.87,6.5,1.53,,,98.48,97.2,97.73,100,75.4,24.6,43.5,56.5,30.4,69.6,42.6,57.4,,
"Janssen Sciences Ireland",https://www.janssen.com/ireland/,Pharmaceutical,https://jnj.co.uk/ireland-gender-pay-gap-report-2023,2023,3.07,5.91,-1.58,-13.3,-37.71,-17.64,-1.6,-1.03,93.63,93.4,96.74,96.7,53.9,46.1,40.3,59.7,31.1,68.9,43.3,56.7,,
"JD Sports Fashion",https://www.jdsports.ie/,Retail,https://www.jdplc.com/sites/jd-sportsfashion-plc/files/2023-12/ROI_JD_Sports_Fashion_Plc_GPG_2023_final_v2.pdf,2023,2.42,0.77,26.97,-9.22,,,,,66,34,62.5,37.5,66.79,33.21,58.21,41.79,56.72,43.28,60.07,33.93,,
"JJ Rhatigan",https://www.jjrhatigan.com,Construction,https://www.jjrhatigan.com/wp-content/uploads/2024/02/JJ-Rhatigan-Gender-Pay-Gap-Report-2023-FP.pdf,2023,37.41,35.81,80,0,,,,,12,88,6,94,24,76,17,83,10,90,3,97,14,86
"JLL Ireland",https://www.jll.ie/,"Real Estate",https://www.jll.ie/content/dam/jll-com/documents/pdf/other/emea/ireland/jll-ie-gender-pay-gap-report-2023-final.pdf,2023,7.9,11.6,3.1,5.9,-67.9,-67.9,,,78.4,84.2,59.5,66.7,37.7,62.3,32.3,67.7,18.7,81.3,26.5,73.5,,
"John Paul Construction",https://www.johnpaul.ie/,Construction,https://www.johnpaul.ie/wp-content/uploads/2023/01/Gender-Pay-Gap-Report-2023.pdf,2023,41,29,76,0,,,,,78,86,59,77,38,62,18,82,8,92,10,90,19,81
"John Sisk and Son",https://www.johnsiskandson.com/,Construction,https://www.johnsiskandson.com/uploads/pdf/Gender-Pay-Gap-Report-2023-IRL.pdf,2023,11.87,19.64,18.66,0,-67.34,-115.36,-13.6,-0.94,69.84,72.24,13.76,49.55,20.14,79.86,22.74,77.26,10.63,89.37,9.97,90.03,16,84
"Johnson & Johnson Vision Care",https://jnjvisionpro.co.uk/,Healthcare,https://jnj.co.uk/ireland-gender-pay-gap-report-2023,2023,3.67,11.4,-1.65,17.01,,,-11.53,-2.96,84.56,84.23,95.22,93.74,22.1,77.9,19.2,80.8,10.3,89.7,15.2,84.9,,
"Johnson Controls: Silent-Aire",https://www.silent-aire.com/,Manufacturing,https://www.johnsoncontrols.co.uk/-/media/jci/be/united-kingdom/gpg/hq2312001_gender-pay-gap-reporting-2023-rev1.pdf,2023,-10.1,-9.8,39,21.9,,,,,10.7,89.3,10.7,89.3,2.4,97.6,6,94,6,94,7.1,92.9,,
"Johnson Controls: Tyco",https://www.tyco.com/,Security,https://www.johnsoncontrols.co.uk/-/media/jci/be/united-kingdom/gpg/hq2312001_gender-pay-gap-reporting-2023-rev1.pdf,2023,24.1,28.1,40,28.5,51.7,52.8,8.29,0,32.8,67.2,45.1,54.9,55.2,44.8,58.6,41.4,48.3,51.7,20.5,79.5,,
"JPMSE Dublin Branch",https://www.jpmorgan.com/global,"Banking,Financial",https://www.jpmorgan.com/content/dam/jpmorgan/documents/global/disclosures/nov23-ireland-gender-pay-gap-report.pdf,2023,8.8,13.07,31.98,16.12,,,,,92.71,91.39,83.68,88.28,48.88,51.12,48.3,51.7,37.5,62.5,28.41,71.59,43,57
"KBC Bank Ireland",https://www.kbc.com/en/kbc-ireland.html,"Banking,Financial",https://www.kbc.com/content/dam/kbccom/doc/ireland/20231130-final-kbci-gender-pay-report-2023.pdf,2023,13.89,12.69,37.47,33.33,38.57,45.89,,,84.85,83.89,93.6,92.28,54.36,45.64,52.35,47.65,52.35,47.65,40.54,59.45,49.92,50.08
"Keelings Farms",https://www.keelings.com/,"Food & Drink",https://www.keelings.com/wp-content/uploads/2023/12/Gender-Pay-Gap-Report-2023-Individual.pdf,2023,4.8,0.2,81,30.6,,,1.5,0,3.4,9,0,0.4,35.9,64.1,37.1,62.9,39.9,60.1,30.6,69.4,,
"Keelings Logistics",https://www.keelings.com/,"Food & Drink",https://www.keelings.com/wp-content/uploads/2023/12/Gender-Pay-Gap-Report-2023-Individual.pdf,2023,0.8,0.3,-6.4,24.7,-5.8,0.1,,,33,42.8,5.8,11.1,16,84,16.5,83.5,13,87,17.5,82.5,,
"Keelings Retail",https://www.keelings.com/,"Food & Drink",https://www.keelings.com/wp-content/uploads/2023/12/Gender-Pay-Gap-Report-2023-Individual.pdf,2023,10.5,6.6,56.1,36,-6.4,-2.6,2.3,0.8,16.1,19,5.6,4.5,51.4,48.6,49.8,50.2,39.1,60.9,39.4,60.6,,
"Kellanova (Kellogg Europe Trading Limited)",https://www.kellanova.com/us/en/home.html,"Food & Drink",https://www.kelloggs.ie/content/dam/europe/kelloggs_ie/pdf/KELLANOVA_GPG_IRELAND_2023.pdf,2023,43.79,35.22,70.9,56.23,,,40.68,40.68,87,89,86,86,75,25,75,25,69,31,44,56,65,35
"Kelly Services (IRE) Limited",https://www.kellyservices.ie/,"Human Resources",https://irp.cdn-website.com/7f167ff5/files/uploaded/Gender%20Report%202023%20Ireland.pdf,2023,28.21,-5.82,-1.85,-3.67,,,6.65,4.52,29.7,26.8,2.28,0.72,59,51,47,53,42,58,30,70,,
"Kepak Athleague",https://www.kepak.com/,"Food & Drink",https://www.kepak.com/assets/2023-kepak-GPGR-IRL.pdf,2023,7.18,10.12,55.88,51.26,,,,,28,23,0,7,35,65,17,83,10,90,16,84,19,81
"Kepak Clonee",https://www.kepak.com/,"Food & Drink",https://www.kepak.com/assets/2023-kepak-GPGR-IRL.pdf,2023,18.77,10.3,60.5,18.18,,,,,28,47,2,6,44,56,41,59,23,77,31,69,35,65
"Kepak Convenience Foods",https://www.kepak.com/,"Food & Drink",https://www.kepak.com/assets/2023-kepak-GPGR-IRL.pdf,2023,-0.11,1.6,32.32,42.82,,,,,68,44,9,22,10,90,75,25,50,50,36,64,43,57
"Kepak Cork",https://www.kepak.com/,"Food & Drink",https://www.kepak.com/assets/2023-kepak-GPGR-IRL.pdf,2023,8.33,8.92,40.32,49.8,,,,,16,47,1,1,43,57,34,66,14,86,20,80,28,72
"Kepak Longford",https://www.kepak.com/,"Food & Drink",https://www.kepak.com/assets/2023-kepak-GPGR-IRL.pdf,2023,4.13,9.89,38.03,42.88,,,,,70,74,1,4,31,69,28,72,3,97,16,84,19,81
"Kepak McCarren Meats",https://www.kepak.com/,"Food & Drink",https://www.kepak.com/assets/2023-kepak-GPGR-IRL.pdf,2023,4.46,3.25,28.8,46.51,,,,,85,94,0,0,31,69,37,63,26,74,24,76,30,70
"Kerry County Council",https://www.kerrycoco.ie/,"Public Service,Council",https://www.kerrycoco.ie/wp-content/uploads/2023/12/Kerry-County-Council-Gender-Pay-Gap-Report-2023.pdf,2023,-1.86,-5.97,,,-19.45,-11.62,0.48,-0.55,,,0.21,0.97,29.55,70.45,8.71,91.29,57.52,42.28,31.4,68.6,32,68
"Kerry Education and Training Board",https://www.kerryetb.ie/,Education,https://kerryetb.ie/wp-content/uploads/2024/02/Kerry-ETB-Gender-pay-gap-statement-2023-English-Version.pdf,2023,1.9,-3.08,,,7.56,0.04,,,,,,,48.98,51.02,51.02,48.98,49.95,50.05,50.92,49.08,66.25,33.75
"Kerry Group",https://www.kerry.com/,"Food & Drink",https://www.kerry.com/content/dam/kerry/en/pdf/about/policies-and-statements/irish-gender-pay-report-2023.pdf,2023,4.8,7.1,25.2,8,-19,13.7,34.3,22.7,32.9,27.6,0.5,1,43.2,56.8,34,66,26.1,73.9,41.2,58.8,,
"Keywords International Ltd. (Dublin Studio)",https://www.keywordsstudios.com/en/,"Technology,Software",https://www.keywordsstudios.com/download/file/a3ZzYmFZOVNKK3dpa3dBTXlmaDY3QT09/Gender-Pay-Gap-report-2023/,2023,33.1,9,72.5,62.8,-7.3,0.1,17.5,6.6,50,59,14,24,51,49,51,49,44,56,30,70,44,56
"Kildare and Wicklow Education and Training Board",https://kildarewicklow.etb.ie/,Education,https://kildarewicklow.etb.ie/wp-content/uploads/2024/02/KWETB-Gender-pay-gap-statement-2023-English-Version.pdf,2023,9.19,10.45,,,4.64,1.23,,,,,,,48.88,51.12,49.78,50.22,49.68,50.31,50.14,49.86,71.18,28.82
"Kildare County Council",https://kildarecoco.ie/,"Public Service,Council",https://kildarecoco.ie/YourCouncil/Publications/Kildare%20County%20Council%20%20Gender%20Pay%20Gap%20Report%202023.pdf,2023,-4.69,-13.64,,,-11.29,-7.99,-11.63,-7.99,,,,,39.78,60.22,32.5,67.5,55.04,44.96,47.33,52.67,44,56
"Kilkenny and Carlow Education and Training Board",https://kcetb.ie/,Education,https://kcetb.ie/wp-content/uploads/2024/01/KCETB-Gender-pay-gap-statement-2023-English-Version.pdf,2023,8.13,9.04,,,5.03,0.6,,,,,,,47.79,52.21,49.5,50.5,50.02,49.98,49.78,50.22,73.77,26.23
"Kilkenny County Council",https://www.kilkennycoco.ie/,"Public Service,Council",https://kilkennycoco.ie/eng/publications/council_publications/gender-pay-gap-report-2023.pdf,2023,-0.52,-2.72,,,-17.78,-8.96,6.96,25.44,,,,,45.65,54.35,12.02,87.98,33.88,66.12,42.39,57.61,34,66
"Kilsaran Concrete",https://www.kilsaran.ie/,Manufacturing,https://www.flipsnack.com/kilsaran/gender-pay-gap-report-2023/full-view.html,2023,0.32,4.74,14.76,-3.35,-5.88,5.69,-2.12,-6.02,79.96,73.53,20.59,20.92,20.89,79.1,3.16,96.84,4.43,95.57,14.56,85.44,10.76,89.24
"Kingspan Limited",https://www.kingspan.com/ie/en/,Manufacturing,https://www.kingspan.com/content/dam/kingspan-group-website/documents/policies/kingspan-gender-pay-gap-report-en-ie.pdf,2023,8.73,8.72,13.88,0,12,-40,,,47.65,48.05,35,24.25,21,79,16,84,27,73,24,76,,
"KPMG (excluding partners)",https://kpmg.com/ie/en/home.html,"Professional Services,Accountancy",https://assets.kpmg.com/content/dam/kpmg/ie/pdf/2023/12/ie-kpmg-ireland-gender-pay-gap-report-2023.pdf,2023,10.2,2.9,20.5,-4.2,53.2,30,4.3,-0.1,86.9,88.4,100,100,50.2,49.8,51.3,48.7,56.1,43.9,45.2,54.8,49.3,50.7
"Kyte Powertech Limited",https://www.kytepowertech.com/,Manufacturing,https://www.kytepowertech.com/wp-content/uploads/2023/12/Gender-Pay-Gap-2023-1.pdf,2023,5.9,7.15,-96,-18,17.97,17.81,-41.86,-41.86,71,71,26,12,30,70,21,79,13,87,13,87,,
L'Oreal,https://www.loreal.com/en/uki/,Retail,https://www.loreal.com/-/media/project/loreal/brand-sites/corp/master/lcorp/7-local-country-folder/uk/documents/2023/13853macloreal-corp-commsirish-gender-pay-gap-report-2023.pdf?rev=f3c62cbcba3a4882a9182f8e400a24b3,2023,31,28,41,43,-8.6,-13,-28,-10,33,45,99,100,89,11,91,9,91,9,75,25,86,14
"Lakeland Dairies",https://www.lakeland.ie/,"Food & Drink",https://www.lakeland.ie/images/uploads/website/Lakeland_Dairies_Gender_Pay_Gap_Report_2023_PDF.pdf,2023,16.2,13.4,40,1.2,-81.6,-90.9,-2,1.1,34.6,30.5,100,100,45.15,53.85,25.97,74.03,16.02,83.98,28.18,71.82,29.1,70.9
"Laois and Offaly Education and Training Board",https://www.loetb.ie,Education,https://www.loetb.ie/contentFiles/2024/ETB_Gender_pay_gap_statement_2023.pdf,2023,8.45,12.33,,,4.61,1.25,0,0,,,,,,,,,,,,,70.21,29.79
"Laois County Council",https://laois.ie/,"Public Service,Council",https://laois.ie/wp-content/uploads/Gender-Pay-Gap-Report-for-2023.pdf,2023,5.46,-3.22,,,2.59,-3.13,20.24,32.17,,,,,54.29,45.71,25.18,74.82,63.77,36.23,47.86,52.14,48,52
"Laya Healthcare",https://www.layahealthcare.ie/,Insurance,https://www.layahealthcare.ie/diversityandinclusion/genderpaygap/,2023,26.3,22.5,54.5,29.2,-50.9,-30.8,-3.1,-31.3,94.6,87.1,95.2,88.8,75.8,24.2,83.6,16.4,73.9,26.1,58.8,41.2,73,27
