"Company Name","Company Site","Company Industries","Report Link","Report Year","Mean Hourly Gap","Median Hourly Gap","Mean Bonus Gap","Median Bonus Gap","Mean Hourly Gap Part Time","Median Hourly Gap Part Time","Mean Hourly Gap Part Temp","Median Hourly Gap Part Temp","Percentage Bonus Paid Female","Percentage Bonus Paid Male","Percentage BIK Paid Female","Percentage BIK Paid Male","Q1 Female","Q1 Men","Q2 Female","Q2 Male","Q3 Female","Q3 Male","Q4 Female","Q4 Male","Percentage Employees Female","Percentage Employees Male"
Depaul,https://ie.depaulcharity.org/,Charity,https://ie.depaulcharity.org/wp-content/uploads/sites/2/2022/12/Depaul-Gender-Pay-Gap-Report-2022.pdf,2022,0.23,0.57,,,3.6,3.7,0,0,,,,,,,,,,,,,63,37
"DePuy Ireland",https://jnj.co.uk/,Medical,https://jnj.co.uk/ireland-gender-pay-gap-report-2022,2022,3.17,3.98,-7.99,0,5.09,16.79,-2.46,-11.01,91.56,94.54,94.48,96.32,43.1,56.9,17.5,82.5,23.4,76.6,28.5,71.5,,
"Designer Group",https://designergrp.com/,Engineering,https://designergrp.com/wp-content/uploads/2022/12/ROI-Gender-Pay-Report-December-2022_V2.pdf,2022,19,21,8,-34,,,,,5,14,50,25,14,86,6,94,7,93,5,95,7.4,92.6
"DHL Express Ireland",https://www.dhl.com/ie-en/home.html,Logistics,https://web.archive.org/web/20230404021043/https://www.dhl.com/content/dam/dhl/local/ie/core/documents/pdf/ie-gender-pay-gap.pdf,2022,22,22,52,25,0.5,13,,,96,99,47,57,70,30,53,47,37,63,25,75,,
"Diageo Republic of Ireland",https://www.diageo.com/en,"Food & Drink",https://media.diageocms.com/diageo-corporate-media/media/ddbnrtrd/roi-gender-pay-gap-report-2022.pdf,2022,3.7,8.2,-14.6,-9.4,-114.1,-109.9,1.2,0,78.9,83.3,100,100,45.5,54.5,41.4,58.6,36.1,63.9,36.6,63.4,39.9,60.1
Diligent,https://www.diligent.com/,"Technology,Software",https://www.diligent.com/legal/gender-pay-report,2022,6,1,31,11,-46,-44,,,55,56,70,59,50,50,55,45,46,54,49,51,,
"Dole Ireland",https://doleireland.com/,"Food & Drink,Wholesale",https://doleireland.com/uploads/general/gender-pay-gap-report_1-1.pdf,2022,14,2,60,9,,,,,73,68,,,34,66,27,73,37,63,19,81,,
Dominos,https://www.dominos.ie/,"Hospitality,Restaurant",https://investors.dominos.co.uk/sites/default/files/attachments/pdf/dpg-and-sheermans-2022-gender-pay-gap-report.pdf,2022,-6.9,-20.2,14.7,9.8,,,,,89.7,95.3,,,21.5,78.5,18.1,81.9,26.5,73.5,32.4,67.6,,
"Donegal County Council",https://www.donegalcoco.ie/,"Public Service,Council",https://www.donegalcoco.ie/media/donegalcountyc/mediahub/documents/Donegal%20County%20Council%20-%20Gender%20Pay%20Gap%20Report%202022.pdf,2022,0,-11.04,,,-10.23,-9.12,11.4,10.87,,,,,27.27,72.73,18.01,81.99,38.51,61.49,32.69,67.31,29,71
"Donegal Education and Training Board",https://www.donegaletb.ie/,Education,https://drive.google.com/file/d/1FxQtE6iKbQ66HXpf8KcPWUb_8OQiZa0g/view,2022,10.53,15.91,,,0.22,3.86,,,,,,,78.51,21.49,72.57,27.43,69.71,30.29,68,32,,
"Dornan Engineering",https://www.dornan.ie/,Engineering,https://www.dornan.ie/gender-pay-gap-report/,2022,29.5,31.6,64.9,58.7,0,0,,,80.4,73.9,9.8,22.9,88,12,10,90,2,98,3,97,17,83
"Doyle Collection",https://www.doylecollection.com/,"Hospitality,Hotel",https://www.doylecollection.com/blog/gender-pay-gap-report-2022,2022,15.1,7.1,,,1.3,0,5.7,-8.3,,,,,67,33,57,43,57,43,44,56,,
"Drimbawn Mushrooms",https://www.monaghan.eu/,"Food & Drink",https://web.archive.org/web/20230209060810/https://www.monaghan.eu/wp-content/uploads/2023/01/ROI-Statement-Drimbawn-Mushrooms-Unlimited-Company.pdf,2022,7,0.3,6.7,37,41.7,29.4,,,51,53,6,6,64,36,65,35,71,29,55,45,64,36
"Dromoland Castle",https://www.dromoland.ie/,"Hospitality,Hotel",https://www.dromoland.ie/wp-content/uploads/2023/01/Gender-Pay-Gap-2022-002.pdf,2022,8.33,4.58,,,,,,,,,,,48,52,53,47,44,56,37,63,,
